Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-11-22,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2020-11-29,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2020-12-06,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2020-12-13,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2020-12-20,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2020-12-27,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-01-03,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-01-10,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-01-17,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-01-24,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-01-31,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-02-07,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-02-14,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-02-21,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-02-28,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-03-07,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-03-14,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-03-21,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-03-28,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-04-04,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-04-11,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-04-18,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-04-25,XXH,Icvanuatu,OTHER,0.0,0,0.0,0
2021-05-02,XXH,Icvanuatu,OTHER,12.0,12,0.0,0
2021-05-09,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-05-16,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-05-23,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-05-30,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-06-06,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-06-13,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-06-20,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-06-27,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-07-04,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-07-11,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-07-18,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-07-25,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-08-01,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-08-08,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-08-15,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-08-22,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-08-29,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-09-05,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-09-12,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-09-19,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-09-26,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-10-03,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-10-10,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-10-17,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-10-24,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-10-31,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-11-07,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-11-14,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-11-21,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-11-28,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-12-05,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-12-12,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-12-19,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2021-12-26,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-01-02,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-01-09,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-01-16,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-01-23,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-01-30,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-02-06,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-02-13,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-02-20,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-02-27,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-03-06,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-03-13,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-03-20,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-03-27,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-04-03,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-04-10,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-04-17,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-04-24,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-05-01,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-05-08,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-05-15,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-05-22,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-05-29,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-06-05,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-06-12,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-06-19,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-06-26,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-07-03,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-07-10,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-07-17,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-07-24,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-07-31,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-08-07,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-08-14,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-08-21,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-08-28,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-09-04,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-09-11,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-09-18,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-09-25,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-10-02,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-10-09,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-10-16,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-10-23,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-10-30,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-11-06,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-11-13,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-11-20,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-11-27,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-12-04,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-12-11,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-12-18,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2022-12-25,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-01-01,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-01-08,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-01-15,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-01-22,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-01-29,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-02-05,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-02-12,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-02-19,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-02-26,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-03-05,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-03-12,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-03-19,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-03-26,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-04-02,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-04-09,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-04-16,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-04-23,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-04-30,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-05-07,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-05-14,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-05-21,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-05-28,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-06-04,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-06-11,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-06-18,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-06-25,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-07-02,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-07-09,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-07-16,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-07-23,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-07-30,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-08-06,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-08-13,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-08-20,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-08-27,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-09-03,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-09-10,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-09-17,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-09-24,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-10-01,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-10-08,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-10-15,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-10-22,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-10-29,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-11-05,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-11-12,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-11-19,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-11-26,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-12-03,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-12-10,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-12-17,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-12-24,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2023-12-31,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-01-07,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-01-14,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-01-21,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-01-28,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-02-04,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-02-11,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-02-18,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-02-25,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-03-03,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-03-10,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-03-17,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-03-24,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-03-31,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-04-07,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-04-14,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-04-21,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
2024-04-28,XXH,Icvanuatu,OTHER,0.0,12,0.0,0
